tournament,count
LAN King Smash Weekly 6/25/2019,197
LAN King Smash Weekly 7/9/19,244
LAN King Weekly 8/27/19,201
LGX 2019 - Luxembourg Gaming Xperience 2019,184
LVL Up Expo 2019,489
Launchpad #4,33
Launchpad #5,27
Legacy Fusion Fight Year One,103
Let´s Parry!,212
Lighthouse League Season 1: January FGC,170
Lighting Smash Tournament: Ultimate Edition,142
Lightning: strikes twice,180
Little Big House 5,332
Low Tier City 7,1292
MECHA,361
MTA eUnlimited BYTE 2019,131
Maine Smash Chronicles,3
Mainstage,448
Making Man Ultimate I,17
Manchester Conquest 4,327
Manchester Conquest 5: MiniMo's Mega Adventure,168
Manchester Mayhem Ultimate #1,51
Maroon Mayhem 1,59
MasterHand 41,36
Mega Smash Mondays 171,376
Mega Smash Mondays 172,281
Mega Smash Mondays 175,214
Mega Smash Mondays 176,205
Mega Smash Mondays 181,215
Mega Smash Mondays 183,281
Mega Smash Mondays 196,194
Mega Smash Mondays 197,185
Mega Smash Mondays 205,198
Mega Smash Mondays 208,144
Melee in t̶h̶e̶ ̶M̶U̶C̶ #3,30
Meltdown Paris W1,35
Meltdown Smash Tournament #21,12
Meltdown Smash Tournament #22,18
Meltdown Ultimate Weeklies #6,67
Meltdown Ultimate Weeklies #7,73
Midwest Arcadian,278
Midwest Arena,454
Milton Matchups 2019 ft. Smash Bros Ultimate,175
Mini Mini Con 2019,258
MomoCon 2019,1727
MoneyG SSBU tournament #5,22
MoneyG Tournament series #6,66
Montevideo Smash Ultimate - Enero,14
Mushroom Kingdom Mayhem,207
NCS Minor | Colorado SMASHDOWN,182
Name Pending #1: A UGA Smash Ultimate Tournament Series,36
Naoned Revenge,474
Neokan Ultimate Weekly #5,18
Neokan Ultimate Weekly #6,34
Nerd Corner Knockout #3,220
"New Challengers, Stage 3 (featuring Mortal Kombat XL)",59
New England Smash Ultimate Arcadian,119
"New year , New me",62
Nightfall Smash Ultimate  #6,26
Nightmare in Smashland 2019,293
No Fun Allowed 3,481
No John's #18,219
No John's #19,217
No John's #21 @ Festival 1UP,200
No Limit Fresno,80
No Mercy #01,68
No Pause Weekly  01/07/19,1
NorCal Regionals 2019,253
Not Your Parce! #1,15
ONLY THE BEST II,176
OVA XI: FACTOR CREMA FT NAKAT,180
OVA XIII: ALL FOR ONE AND ONE FOR ALL,223
Ohlone Renegade Super Smash Bros. Tournament,30
Okay:2019,266
OooWee's The Hard Read Ultimate #3,16
OooWee's The Hard Read Ultimate #4,39
Orbitar 63,376
Orbitar 64,238
Orbitar 65,212
Orbitar 66,300
Orbitar 67,271
Orbitar 68,277
Orbitar 69,291
Orbitar 70,166
Orbitar 71,295
Orbitar 72,275
Orbitar 75,287
Orbitar 76,308
Orbitar 77,156
Orbitar 78,132
Orion 2019,294
Otaku Zone Season 1 Week 11,204
Otaku Zone Season 1 Week 2,339
Otaku Zone Season 1 Week 3,238
Otaku Zone Season 1 Week 4,249
Otaku Zone Season 1 Week 9,201
Otaku Zone Season 2 Arcadian,195
Overclocked Ultimate II: New England Smash Ultimate Regional,316
Overclocked Ultimate III,176
Overclocked Ultimate: New England Smash Ultimate Regional,359
Overlords of Orlando: Ultimate Edition,483
Overly Caffeinated - Smash Ultimate Arcadian,193
Overpowered - January 2019,7
OzHadou Nationals 16,107
PCG Battledome III,235
PPW #4,15
PRISM 161 - Road To Spectrum 2,32
PTS: Grifo Arena Smash 7,2
Pacific Showdown #66,43
Pacific Showdown #67,24
Pacific Showdown #68,39
Pantheon Saga 1: Apollo,113
Pantheon: A Smash Ultimate Kick Off,236
Papercut,349
Parry Time,1
Pause for the Cause #68 - The Wichita Melee & Ultimate Weekly!,35
Phoenix Uprising #152,18
Phoenix Uprising #153,40
Pink City Clash #1,234
Pink City Clash : ENDGAME,264
Platinum Star Smash - Ultimate S1:E2,263
Platinum Star Smash - Ultimate S1:E3 [Season Finale!],234
Platinum Star Smash S3:E1 [$200 POT BONUS] NJ Ultimate Monthly,230
Platinum Star Smash Ultimate Season 1 Ep 1,99
Platinum Starcadian Season 2,247
Player Games Ultimate,11
Poi Poundaz 2,203
Pop-Off Arena,237
Port Priority 5,769
Pound 2019,1422
Pre-Genesix,392
Push The Limit 2,309
Push The Limit 3,184
Push The Limit 4,214
Quit Your Friendlies! 3: Upstate's Premier Smash Tournament,278
REV Major 2019,250
RIP Waluigi 2,19
RIP Waluigi 3,15
Raceway Fridays #2,96
Raceway Fridays #3,41
Ragnarok: Super Smash Bros Ultimate & Super Smash Bros Melee,299
"Randall City 2 Ft. Captain Faceroll, Nicko",213
Rebirth #74,16
Red Bull Strijders - Fight Club,231
Regen 2019,1059
Retro Arena 64,475
Retro Rumble 2019,166
Return to Subspace 2 - When Worlds Collide,346
Revenge of the 6ix: February Edition,223
