tournament,count
OzHadou Nationals 16,113
PCG Battledome III,285
PPW #4,15
PRISM 161 - Road To Spectrum 2,32
PTS: Grifo Arena Smash 7,2
Pacific Showdown #66,43
Pacific Showdown #67,24
Pacific Showdown #68,40
Pantheon Saga 1: Apollo,131
Pantheon: A Smash Ultimate Kick Off,242
Papercut,363
Parry Time,1
Pause for the Cause #68 - The Wichita Melee & Ultimate Weekly!,35
Phoenix Uprising #152,18
Phoenix Uprising #153,43
Pink City Clash #1,234
Pink City Clash : ENDGAME,270
Platinum Star Smash - Ultimate S1:E2,272
Platinum Star Smash - Ultimate S1:E3 [Season Finale!],240
Platinum Star Smash S3:E1 [$200 POT BONUS] NJ Ultimate Monthly,235
Platinum Star Smash Ultimate Season 1 Ep 1,104
Platinum Starcadian Season 2,264
Player Games Ultimate,11
Poi Poundaz 2,221
Pop-Off Arena,238
Port Priority 5,893
Pound 2019,1602
Pre-Genesix,504
Push The Limit 2,335
Push The Limit 3,220
Push The Limit 4,234
Quit Your Friendlies! 3: Upstate's Premier Smash Tournament,300
REV Major 2019,263
RIP Waluigi 2,19
RIP Waluigi 3,15
Raceway Fridays #2,110
Raceway Fridays #3,41
Ragnarok: Super Smash Bros Ultimate & Super Smash Bros Melee,438
"Randall City 2 Ft. Captain Faceroll, Nicko",230
Rebirth #74,16
Red Bull Strijders - Fight Club,254
Regen 2019,1317
Retro Arena 64,516
Retro Rumble 2019,173
Return to Subspace 2 - When Worlds Collide,434
Revenge of the 6ix: February Edition,232
Revenge of the 6ix: The Moon Strikes Back January 19-20,154
Revival of Jab Air 3,15
Revival of Kin 114,14
Revival of Kin 115,58
Rice Addiction #4,43
Rise and Shine!,70
River Rumble Presented by OCU Esports,269
Rock Chalk Jab Lock 45,14
Roll & Parry #3,36
Roll & Parry #4,17
S4R Championship 2019 #1,15
S@PS Anniversary! Fourth Time's the Charm,66
S@PS Weekly 69,27
SATURN Ultimate Smash #2 - SprinGames 2019,220
SEL 4 : Crêpes strikes back // Smash Epitech Lyon,382
SHUltimate,1
SIEGE 2019,423
SKL Smashfest 4 - Ultimate: Presented by IKS Media and the Saskatoon Blades,376
SLP Sunday Weekly XLIII,6
SLP Sunday Weekly XLIV,57
SMASH CONFERENCE UNITED,720
SMASH NIGHTS ( Weekly #5),22
SMASH at The Paramount,469
SMASHLAN'D #47,265
SMASHLAN'D #48,112
SMASHTROLLS Weekly Series #2,2
SNS5 Pre-Event Tournament & Bowling!,255
SOLARY CIRCUIT : Etape 4 - L'Indigo Flame de Strasbourg,269
SOS Ultimate,337
SPECTRUM 2,101
SUMABATO x CYCLOPS #80,22
SUMABATO x CYCLOPS #81,20
SYNTHESIS 16,254
SYNTHESIS 17,202
SYNTHESIS 18,222
SYNTHESIS 19,233
SYNTHESIS 5,111
SYNTHESIS 6,104
SYNTHESIS 7,71
Safe On Shield #1,212
Saints Gaming Live 2019,224
Salty Arena Bi-Weekly #3,15
Salty Arena Cup Ultimate #1,254
Salty Arena Cup Ultimate #3,248
San Antonio's Really Feeling It,307
San Japan 2019 Smash Bros,356
Scenic Smash,265
Scenic Smash 2,204
Schism 3,782
Seal the Deal - Ultimate,64
Second City Smash 2,343
SectorX Smash at Disguiser #2 (OcS Esports SSBU Event),19
Sekai Doggo's Summer Festival v3,10
Seoul Smash #5,143
Share Stock,3
Shieldbreak January Edition,462
Shine 2019,1763
Shine Today #1 Season 3,13
Show Me Your Moves 20,485
Silver City Smash #1,7
Sink or Swim 116,296
Sink or Swim 117,168
Skyworld 7,376
SloBroke #100,232
Slobroke #72,18
Slobroke #73,17
Smash @ Bunjil Place,207
Smash @ Fantasy Basel (hosted by SILENTGAMING),255
Smash @ Gather 7,1
Smash @ Humber: January Monthly,207
Smash @ Humber: Weekly #1,71
Smash @ UofA #11 - Mar 15,228
Smash @ UofA #30 - Sep 6,175
Smash @ UofA #6 - Feb 1,218
Smash @ UofA #7 - Feb 8,220
Smash And Ladders,499
Smash Atlantic,15
Smash Attack 35!,14
Smash Bros Ultimate @ WSU weekly #1,48
Smash Class XII,5
Smash Dawgs Tryouts,70
Smash Down #1,90
Smash Erie Monthly #3,240
Smash Factor 8,1622
Smash Fight Club 162,95
Smash Fight Club 163,92
Smash Fight Club 164,55
Smash Gaiden #42: Fight Club Edition,210
Smash Horizon II - Powered By New Horizon Mall and Horizon Computers,240
Smash King Honduras 1,230
Smash Labs Weekly (2019-01-09),107
Smash Labs Weekly (2019-01-16),50
Smash Mashing 3,45
Smash N' Grab,362
Smash Norte,248
Smash On The Rocks 2,33
Smash Quest Chapter 1: Legend of Hyrule,376
Smash Ultimate @ U of A #5,264
Smash Ultimate CEO Weekly,199
Smash Ultimate Guild #1,1
Smash Ultimate Jan 14,18
Smash Ultimate Jan 7th,34
Smash Ultimate PiviP Open Qualifier 1/2,334
Smash Ultimate Regional Qualifier for DreamHack,288
Smash Ultimate Tournament #2 @ The Connection,226
Smash Ultimate Tournament #3 @ The Connection,254
Smash Ultimate at Clarke's #4,5
Smash Zone XX,112
Smash at Johnny B's #47 2019 Ultimate edition,23
Smash at Johnny B's #48,33
Smash at Liège Tournament #6,74
Smash at Metro Entertainment 29,18
Smash in the Den #10,2
Smash x Ramboot Ultimate #2,70
Smash à Lez biweekly #1,75
Smash'N'Splash 5,4223
SmashDEN - January 2019,29
SmashErie 6: Summertime Smash,210
SmashErie Smash Ultimate #4,285
SmashLAN'D 79,200
SmashLoft Ultimate Weekly #6,54
SmashWorks Ultimate,319
Smashadelphia 2019 @ TooManyGames!,401
Smashdew Valley 11: Penultimate Edition,15
Smashdown - Nacional Smash Ultimate Colombia,218
Smashed Out Melee #79,1
Smashers Anonymous: Ultimate Edition,105
Smashfield 171  Presented by High Score eSports @ Buffalo Wild Wings,266
Smashfield 172 Presented by High Score eSports @ Buffalo Wild Wings,206
Smashfield 173 Presented by High Score eSports @ Buffalo Wild Wings,222
Smashfield 175 Presented by High Score eSports @ Buffalo Wild Wings,216
Smashfield 179 Presented by High Score eSports @ Emagine Theatres,202
Smashfield 189 Presented by High Score eSport @ Emagine Theatres,200
Smashing Celaya 8 Temp. 1 - 2019,15
Smashkatoon 37,105
Smashmania XII,23
Smashwick #3,555
Smile & Wave(s) - A SILENTGAMING Smash Tournament,256
SoCal Chronicles,1022
SoCal Ultimate League Season 1 Finale,202
Somerset Weekly Premiere,22
Space 2 Smash #20,8
"Spare, Strike, Smash!",44
Spartan Weeklies #41,106
Spartan Weeklies #42,205
Spartan Weeklies #43,202
Spartan Weeklies #45,219
Spartan Weeklies #46,202
Spartan Weeklies #52,354
Spartan Weeklies #54,161
Spartan Weeklies #56,158
Special Edition: Saturday Scuffles 2,17
Spectrum #100,254
Spectrum Smash #78,121
Standoff 2019,488
Star Forge: Overground,295
Star Forge: Underground,248
Star Forge: Underground #10,222
Star Forge: Underground #13,450
Star Forge: Underground #14,152
Start!,210
Steel City Showdown $1500 Prize Pool!,413
Stiff Knees 5,663
Stop al Freeplay #6,58
Storm The Ultimate Bracket 2,88
Strat Smash #3,41
Strat Smash 16-01-2019,34
Stunfest 2019 Tournaments,807
"Summer Shieldbreak Ft. Ally, Blacktwins, Smokk, Hoe",382
Summer Tournament 1,224
Sunday Schooled #4,28
Super Bit Wars 7,511
Super Salty Beef 1,74
Super Smash Con 2019,5409
Super Smash SMACKDOWN,19
Super Smash Showdown,222
Super SmashNest v20,384
Super Smashed Fest,408
Super South Bay Sunday #37,80
Suplex City Smash,439
Sweet Spot 5 ($100 Pot Bonus),309
SweetSpot,17
SweetSpot Summer Invitational 2019,246
Sync or Swim #29,2290
Sync or Swim #5,105
Sync or Swim #6,95
